"SalePrice","TotalSF","OverallQual","GrLivArea","GarageCars","TotalBath","KitchenQual","AgeAtSale","Neighborhood"
208500,2566,7,1710,2,3.5,5,5,"CollgCr"
181500,2524,6,1262,2,2.5,4,31,"Veenker"
223500,2706,7,1786,2,3.5,5,7,"CollgCr"
140000,2473,7,1717,3,2,5,91,"Crawfor"
250000,3343,8,2198,3,3.5,5,8,"NoRidge"
143000,2158,5,1362,2,2.5,4,16,"Mitchel"
307000,3380,8,1694,2,3,5,3,"Somerst"
200000,3197,7,2090,2,3.5,4,36,"NWAmes"
129900,2726,7,1774,2,2,4,77,"OldTown"
118000,2068,5,1077,1,2,4,69,"BrkSide"
129500,2080,5,1040,1,2,4,43,"Sawyer"
345000,3499,9,2324,3,4,6,1,"NridgHt"
144000,1824,5,912,1,2,4,46,"Sawyer"
279500,2988,7,1494,3,2,5,1,"CollgCr"
157000,2506,6,1253,1,2.5,4,48,"NAmes"
132000,1686,7,854,2,1,4,78,"BrkSide"
149000,2008,6,1004,2,2,4,40,"NAmes"
90000,1296,4,1296,2,2,4,39,"Sawyer"
159000,2228,5,1114,2,2.5,5,4,"SawyerW"
139000,2368,5,1339,1,1,4,51,"NAmes"
325300,3534,8,2376,3,3.5,5,1,"NridgHt"
139400,1745,7,1108,1,1,5,77,"IDOTRR"
230000,3572,8,1795,2,2,5,6,"CollgCr"
129900,2100,5,1060,2,2,4,31,"MeadowV"
154000,2120,5,1060,1,2,5,42,"Sawyer"
256300,3166,8,1600,3,2,5,2,"NridgHt"
134800,1800,5,900,2,1.5,5,59,"NAmes"
306000,3408,8,1704,3,3,5,3,"NridgHt"
207500,3084,5,1600,1,2,4,49,"NAmes"
68500,1040,4,520,1,1,3,81,"BrkSide"
40000,1966,4,1317,1,1,4,88,"IDOTRR"
149350,2456,5,1228,1,1.5,5,42,"Sawyer"
179900,2468,8,1234,2,2,5,1,"CollgCr"
165500,3098,5,1700,2,2,5,51,"NAmes"
277500,3122,9,1561,2,3,6,2,"NridgHt"
309000,3569,8,2452,3,3.5,5,2,"NridgHt"
145000,2194,5,1097,2,1.5,4,15,"CollgCr"
153000,2594,5,1297,2,1.5,4,55,"NAmes"
109000,2114,5,1057,1,2,5,57,"NAmes"
82000,1152,4,1152,0,2,3,53,"Edwards"
160000,2412,6,1324,2,2,4,41,"NAmes"
170000,2678,5,1328,1,2,4,48,"Timber"
144000,1724,5,884,2,2,5,24,"SawyerW"
130250,1876,5,938,1,2,4,33,"CollgCr"
141000,2300,5,1150,1,2,4,47,"NAmes"
319900,3504,9,1752,2,3,6,5,"NridgHt"
239686,3583,7,2149,2,2.5,5,6,"Mitchel"
249700,3312,8,1656,3,2,5,1,"Somerst"
113000,2188,4,1452,0,2,4,89,"OldTown"
127000,1910,5,955,1,2,4,41,"Sawyer"
177000,2264,6,1470,2,2.5,4,10,"Gilbert"
114500,1632,6,1176,2,1,4,72,"BrkSide"
110000,1632,5,816,2,2,4,47,"IDOTRR"
385000,3684,9,1842,3,2.5,5,25,"Veenker"
130000,1744,5,1360,2,1,4,52,"NAmes"
180500,2850,6,1425,2,2,4,44,"NAmes"
172500,2709,8,1739,2,3.5,5,10,"Somerst"
196500,2580,7,1720,2,2.5,5,2,"CollgCr"
438780,4355,10,2945,3,3.5,5,0,"StoneBr"
124900,1560,5,780,1,1,4,36,"CollgCr"
158000,2316,6,1158,2,2.5,5,2,"SawyerW"
101000,1641,5,1111,1,1,3,87,"IDOTRR"
202500,2740,8,1370,2,2,5,1,"NridgHt"
140000,2286,7,1710,2,2,4,89,"OldTown"
219500,3091,7,2034,2,3.5,5,12,"CollgCr"
317000,3616,8,2473,3,2.5,5,3,"NridgHt"
180000,4154,7,2207,2,3,4,40,"NAmes"
226000,2932,7,1479,2,3,5,4,"CollgCr"
80000,1494,4,747,1,1,4,65,"OldTown"
225000,3591,7,2287,2,2,4,53,"ClearCr"
244000,4446,7,2223,2,3,4,34,"NAmes"
129500,1690,4,845,2,2,4,25,"Mitchel"
185000,2550,7,1718,2,2.5,4,11,"Gilbert"
144900,2172,5,1086,2,2,4,56,"NAmes"
107400,2445,3,1605,1,2,4,95,"OldTown"
91000,1450,4,988,1,2,4,36,"MeadowV"
135750,1904,4,952,1,1,4,52,"NAmes"
127000,1957,5,1285,1,2,4,60,"BrkSide"
136500,3536,4,1768,0,2,4,42,"Sawyer"
110000,1670,5,1230,2,1.5,4,99,"OldTown"
193500,3038,6,2142,1,2.5,5,41,"NAmes"
153500,2574,6,1337,2,3,4,8,"Mitchel"
245000,3126,8,1563,3,2,5,1,"Somerst"
126500,2130,5,1065,2,1.5,4,47,"NAmes"
168500,1858,7,1474,2,2.5,4,14,"Gilbert"
260000,3705,8,2417,2,2.5,5,15,"NoRidge"
174000,2244,6,1560,2,2.5,5,4,"Gilbert"
164500,1836,6,1224,2,2.5,5,0,"Somerst"
85000,2026,3,1526,0,1,3,94,"IDOTRR"
123600,1980,4,990,0,2,4,13,"CollgCr"
109900,1040,4,1040,2,1,4,56,"NAmes"
98600,2470,5,1235,2,1,4,45,"NAmes"
163500,1840,5,964,2,2,4,88,"Crawfor"
133900,3505,6,2291,2,2.5,4,97,"OldTown"
204750,2610,6,1786,2,3.5,5,10,"CollgCr"
185000,2150,6,1470,2,2.5,4,16,"Gilbert"
214000,3176,7,1588,2,2,5,7,"CollgCr"
94750,1920,4,960,1,2,4,42,"Edwards"
83000,1293,5,835,1,1,4,90,"Edwards"
128950,2175,4,1225,0,2.5,4,51,"NAmes"
205000,3220,6,1610,2,3,5,33,"NWAmes"
178000,2473,6,1732,2,2.5,5,25,"SawyerW"
118964,1535,5,1535,2,2,4,30,"SawyerW"
198900,2452,7,1226,3,2,5,1,"CollgCr"
169500,2858,7,1818,1,1.5,4,76,"IDOTRR"
250000,3045,8,1992,2,2.5,5,5,"Somerst"
100000,1688,4,1047,1,1,4,122,"OldTown"
115000,1578,5,789,1,1,4,60,"OldTown"
115000,2310,5,1517,0,2,3,88,"IDOTRR"
190000,3688,6,1844,2,2,4,33,"NWAmes"
136900,2849,6,1855,1,2,4,52,"Edwards"
180000,1814,7,1430,2,2.5,4,10,"Gilbert"
383970,3960,7,2696,3,3.5,6,0,"CollgCr"
217000,4068,6,2259,2,3,5,54,"Crawfor"
259500,3348,6,2320,1,3.5,5,62,"Crawfor"
176000,2187,6,1458,2,2.5,4,8,"Somerst"
139000,2184,5,1092,1,1.5,4,47,"Sawyer"
155000,2250,5,1125,2,1.5,4,1,"Edwards"
320000,4895,7,3222,3,4,5,20,"SawyerW"
163990,2184,6,1456,2,2.5,5,1,"CollgCr"
180000,1926,6,988,2,2,4,37,"ClearCr"
100000,1855,4,1123,1,1,4,68,"IDOTRR"
136000,2160,6,1080,1,1,4,50,"NAmes"
153900,2398,6,1199,2,2,5,15,"SawyerW"
181000,2948,6,1586,2,2,4,30,"NWAmes"
84500,1040,6,754,0,2,4,71,"IDOTRR"
128000,2036,6,958,2,2,4,31,"NPkVill"
87000,1512,5,840,0,1,4,77,"OldTown"
155000,2008,6,1348,2,1.5,4,40,"NAmes"
150000,2061,5,1053,2,2,6,48,"NAmes"
226000,3081,7,2157,2,2.5,5,40,"NAmes"
244000,3046,6,2054,2,3.5,5,9,"Gilbert"
150750,2390,5,1327,2,2,5,48,"NAmes"
220000,2563,8,1296,2,3,5,8,"Timber"
180000,3182,5,1721,2,2.5,4,38,"Sawyer"
174000,2986,7,1682,2,2,4,38,"NWAmes"
143000,2428,5,1214,1,2,4,40,"NAmes"
171000,3866,7,1959,3,3,4,18,"Mitchel"
230000,2856,8,1852,3,2.5,5,9,"CollgCr"
231500,2692,6,1764,2,3.5,5,12,"CollgCr"
115000,1728,4,864,0,1,4,39,"NAmes"
260000,3468,7,1734,2,3,5,1,"CollgCr"
166000,2295,5,1385,2,2,4,58,"NAmes"
204000,2991,7,1501,2,3,5,10,"CollgCr"
125000,3456,5,1728,2,3,4,43,"Sawyer"
130000,2679,6,1709,2,2,5,2,"Edwards"
105000,1590,5,875,1,2,4,78,"BrkSide"
222500,2919,7,2035,2,2.5,5,9,"Gilbert"
141000,2160,7,1080,0,2,5,4,"SawyerW"
115000,2240,5,1344,1,1,4,70,"BrkSide"
122000,1938,5,969,2,1.5,4,32,"CollgCr"
372402,3420,8,1710,3,3,5,1,"NridgHt"
190000,2818,6,1993,2,2.5,4,35,"NWAmes"
235000,2854,6,1252,2,2,4,48,"ClearCr"
125000,2400,6,1200,1,1,4,83,"OldTown"
79000,1668,6,1096,0,1,4,84,"Edwards"
109500,1040,5,1040,2,1,4,56,"NAmes"
269500,2742,8,1968,3,2.5,6,1,"Timber"
254900,2938,7,1947,2,2.5,5,6,"Somerst"
320000,3854,7,2462,2,3.5,5,1,"Gilbert"
